column,graph_kind,mean_abs_response,mean_response,nn,repeat,source_case,sweep,target_case
3,initial,0.4211814049015247,-0.4004005655224397,1,2,1,18,2
4,initial,0.2604472658861742,0.07710221376401889,1,2,1,18,2
5,initial,0.27259872490940806,-0.011974635861497863,1,2,1,18,2
6,initial,0.29352199449702243,0.1946464201182407,1,2,1,18,2
7,initial,0.23725513809247578,0.009018517723447257,1,2,1,18,2
8,initial,0.33446257764372916,0.22442961996748267,1,2,1,18,2
1,initial,0.2888316845902152,-0.17338850918028387,1,2,1,19,2
2,initial,0.22816908050365176,-0.12908886627801133,1,2,1,19,2
3,initial,0.44094671682636744,-0.44094671682636744,1,2,1,19,2
4,initial,0.2794960785980177,0.1223855237535574,1,2,1,19,2
5,initial,0.22707051530297878,-0.034468066159708925,1,2,1,19,2
6,initial,0.29480078796367537,0.195789636829244,1,2,1,19,2
7,initial,0.2468132418756684,0.0683682096404279,1,2,1,19,2
8,initial,0.34022087561442066,0.28554182694478925,1,2,1,19,2
1,initial,0.30612500312897256,-0.1661054042535292,1,2,1,20,2
2,initial,0.27352821781363945,-0.16553693153895527,1,2,1,20,2
3,initial,0.4359524029176881,-0.4200760397771274,1,2,1,20,2
4,initial,0.2920123776620227,0.1307751570610445,1,2,1,20,2
5,initial,0.2620348669726682,-0.06916182976247923,1,2,1,20,2
6,initial,0.2785393256450167,0.18297180479105377,1,2,1,20,2
7,initial,0.24634305112887125,0.10294359727817985,1,2,1,20,2
8,initial,0.3221101491881362,0.27506576661063714,1,2,1,20,2
1,initial,0.3417186593114423,-0.22083485214136167,1,2,1,21,2
2,initial,0.3319151478683064,-0.22738495288989866,1,2,1,21,2
3,initial,0.45173011189212314,-0.42905618534305395,1,2,1,21,2
4,initial,0.30219316093489323,0.17099394248853172,1,2,1,21,2
5,initial,0.28595605841677774,-0.024684528206658306,1,2,1,21,2
6,initial,0.23374103644029556,0.10733262368157814,1,2,1,21,2
7,initial,0.26797751301782224,0.061096867708486186,1,2,1,21,2
8,initial,0.35040675475500155,0.3178777381907291,1,2,1,21,2
1,initial,0.389286604280881,-0.25405025733193864,1,2,1,22,2
2,initial,0.3140455984431059,-0.18856423123398322,1,2,1,22,2
3,initial,0.4108588964060173,-0.3699754155469041,1,2,1,22,2
4,initial,0.29827603109331724,0.15196912177492292,1,2,1,22,2
5,initial,0.24864539766576935,-0.02477059248856741,1,2,1,22,2
6,initial,0.23281992887751168,0.11857414968713087,1,2,1,22,2
7,initial,0.2648307447298947,0.032872864904409674,1,2,1,22,2
8,initial,0.3791920414979931,0.3308295307938228,1,2,1,22,2
1,initial,0.44389056385815684,-0.2838580633877288,1,2,1,23,2
2,initial,0.31871515127000305,-0.1971731913433293,1,2,1,23,2
3,initial,0.40441274295956364,-0.32784547274121234,1,2,1,23,2
4,initial,0.2921424620531674,0.18822718855595943,1,2,1,23,2
5,initial,0.2574407693034296,-0.06904059754196627,1,2,1,23,2
6,initial,0.23740875962226243,0.11025260138346878,1,2,1,23,2
7,initial,0.2898777327519168,0.03282476178413831,1,2,1,23,2
8,initial,0.352897171776758,0.3336561172169663,1,2,1,23,2
1,initial,0.4186089373130695,-0.3041374106077017,1,2,1,24,2
2,initial,0.30748041411035637,-0.19496076384693062,1,2,1,24,2
3,initial,0.4307179244429298,-0.3716568190670658,1,2,1,24,2
4,initial,0.298604816876615,0.19836311526550846,1,2,1,24,2
5,initial,0.2958459996035766,-0.028842149171881895,1,2,1,24,2
6,initial,0.21028259435883323,0.12973286153951352,1,2,1,24,2
7,initial,0.2967248741007562,0.030034007747563464,1,2,1,24,2
8,initial,0.3933252448882731,0.365217573919349,1,2,1,24,2
